participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,gender,age,father,mother,feedback,Email,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.1de87059-7c0e-443c-9708-be1707f11bb5.txt,7095,"",6106,28845,42458,24720,10931,11680,9466,4407,8877,7966,7723,3446,9207,4821,3688,3913,7816,7995,3500,5394,7364,5137,7658,5113,7205,6490,4191,15761,4821,2985,3333,5160,2564,4266,23222,13205,4288,2020-02-13-16-14,2020-02-13-16-33,19
s.375c73b7-bfbd-41c5-b8db-ed82e9389ab5.txt,8705,"",3652,43634,30606,39703,16091,5401,15326,26611,6753,10666,9337,5540,4501,20136,6227,5665,9390,4993,12063,21711,7497,6877,6800,13566,8709,11356,7568,20515,6141,4606,3801,5210,3845,2237,5240,1627,21891,2020-02-18-16-25,2020-02-18-16-47,22
s.2984aa9f-afff-4d37-a3a9-d74916dea91d.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",75236,2020-02-24-12-40,"",""
s.ecb9d680-a5ef-45bb-a5d2-dd3e7d5f2c1c.txt,6875,"",4754,42506,38069,41978,7829,4416,5006,18635,4168,5320,3968,4732,2986,7962,9046,5644,21445,8637,6643,3101,14123,2288,4367,6819,4204,11876,3989,15148,6268,3780,5224,3057,1730,4530,13606,8853,117773,2020-02-12-17-42,2020-02-12-18-03,21
s.19ecc6e7-c4fd-4a28-bbfe-631e83a5fa57.txt,7731,"",4071,43317,21755,18866,4587,6381,8340,3645,7542,5324,5868,3427,3526,4798,10785,5028,11086,3418,3365,4405,6728,3354,3481,3442,10981,5141,4408,5387,9864,2497,3291,5455,1429,4579,14068,1616,93755,2020-02-13-08-38,2020-02-13-08-56,18
s.268e47b1-6a91-4056-ad03-ea72eac5534d.txt,6600,"",7866,48100,19012,41104,9489,5500,5723,4502,6354,8495,4701,5075,5327,8769,4367,3238,4457,5866,4142,6158,6458,5202,2920,5836,4536,4546,3771,4631,6308,2690,4261,3461,7835,3377,21871,8251,59198,2020-02-18-16-25,2020-02-18-16-43,18
s.8b0b0ca2-9f1c-4480-8365-403746845714.txt,25708,"",4065,17238,20409,16505,9010,7313,3474,6791,7825,3502,3854,2954,2382,2945,3259,3515,5006,4748,4896,4106,4628,5391,4062,2957,5162,3570,4192,5655,4186,2971,4887,11015,2503,3360,25424,7435,35291,2020-02-18-16-24,2020-02-18-16-40,16
s.466758d0-47e2-4edf-8f7f-e2e45700829d.txt,18327,"",4751,26790,23919,17836,6154,6159,8805,4313,3458,3937,4059,4182,3415,4615,3392,4849,3736,4291,3951,5615,4536,3203,4050,4634,4589,8050,5024,5919,3787,2865,3576,4144,3202,13445,29987,9917,48918,2020-02-18-16-24,2020-02-18-16-42,18
s.0af09e98-c543-4e11-9b76-6cae67a51d64.txt,17969,"",3384,20482,18761,37420,5473,7344,7572,3480,6035,11256,9476,8715,4523,3592,5015,10724,4991,4483,3766,3742,3788,6084,3795,7745,5834,3874,2557,4233,4737,2743,2891,4483,1976,3670,20641,10788,52186,2020-02-24-12-40,2020-02-24-12-57,17
s.3ca41974-5ad5-4dde-8396-15dd827519bf.txt,7086,"",3833,27437,16698,20538,11394,7907,4532,3277,6775,7054,3208,3813,2196,3351,8993,9272,4947,7533,13685,4708,7041,3362,3513,4729,5459,3889,2701,5752,11041,2564,2743,6349,1970,49711,15352,6441,125887,2020-02-13-08-35,2020-02-13-08-53,18
s.0b2d841e-70a4-4e5b-a17d-1eebde9a1ab5.txt,15773,"",3495,49644,20656,44923,5914,11978,8142,10099,4419,17440,8332,6435,5563,14592,6686,7103,17640,9241,5770,4627,3052,6175,4535,9384,5778,5036,4099,4808,4093,2541,3915,13296,1839,6268,16203,21979,83380,2020-02-18-16-25,2020-02-18-16-44,19
s.09636cd7-fd06-4339-8fdc-16fe06306af6.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8980,2020-02-07-16-37,"",""
